wpm,filler_count,filler_rate,pause_count,pause_rate,avg_pause_duration,speech_rate_std,pitch_mean,pitch_std,energy_mean,energy_std,silence_ratio,duration,label,label_name
75.89,22,26.178,10,11.8991,3.7489,66.114,199.58,114.39,0.039333,0.049352,0.6289,50.42,0,Poor
122.26,2,1.8654,2,1.8654,0.9492,15.0722,190.58,19.97,0.073467,0.032528,0.0652,64.33,2,Good
131.5,6,4.0371,8,5.3828,1.5821,40.2671,202.11,64.38,0.047468,0.067811,0.1766,89.17,1,Average
164.63,8,6.1765,7,5.4044,1.748,27.617,122.14,46.12,0.032147,0.054748,0.2192,77.71,1,Average
219.88,10,10.7841,18,19.4114,1.9398,45.9941,188.66,70.73,0.025156,0.099534,0.5523,55.64,0,Poor
152.31,5,3.655,8,5.848,1.8908,24.4921,145.63,68.86,0.032668,0.062719,0.2485,82.08,1,Average
156.5,10,22.2041,23,51.0694,3.008,89.3768,291.78,116.66,0.01276,0.072511,0.4134,27.02,0,Poor
112.86,5,3.038,5,3.038,0.8139,21.8112,168.87,49.2,0.062001,0.034583,0.289,98.75,1,Average
142.41,3,2.346,6,4.6921,1.5504,39.5856,201.84,49.38,0.066257,0.04765,0.2695,76.72,1,Average
84.43,8,26.7758,14,46.8576,1.9138,55.2476,264.25,79.93,0.022129,0.058192,0.5128,17.93,0,Poor
92.38,10,11.6817,20,23.3633,2.0506,84.1132,258.09,80.92,0.01029,0.115242,0.4392,51.36,0,Poor
153.37,9,10.055,23,25.696,3.0835,92.9303,256.81,71.19,0.054091,0.083147,0.5826,53.7,0,Poor
129.43,6,5.7056,8,7.6074,1.758,29.2983,177.75,45.9,0.026539,0.042054,0.1891,63.1,1,Average
121.68,5,3.8524,6,4.6229,1.4391,44.053,126.42,65.78,0.089403,0.023076,0.3266,77.87,1,Average
159.27,11,13.2285,19,22.8492,2.735,86.5049,102.64,92.19,0.025835,0.07656,0.5114,49.89,0,Poor
132.75,3,5.7863,4,7.7151,0.9208,15.5838,195.07,24.36,0.053349,0.022916,0.0714,31.11,2,Good
54.07,11,8.6576,18,14.167,1.7837,96.2011,294.33,119.76,0.008073,0.098963,0.4911,76.23,0,Poor
182.41,8,8.3772,18,18.8487,1.7837,95.8581,273.01,75.48,0.041299,0.105378,0.4943,57.3,0,Poor
144.6,7,6.3254,11,9.94,1.6435,21.3201,182.99,53.97,0.06215,0.021147,0.2144,66.4,1,Average
117.49,5,6.3178,11,13.8992,0.8833,32.9765,120.14,62.01,0.03636,0.047001,0.326,47.48,1,Average
122.76,2,1.0994,2,1.0994,0.7866,17.1632,206.87,23.3,0.095489,0.033134,0.1482,109.15,2,Good
157.67,17,51.6481,24,72.9149,3.6966,72.2483,243.12,94.39,0.059873,0.100192,0.5474,19.75,0,Poor
131.57,1,0.5704,2,1.1408,1.1691,9.7095,211.07,30.07,0.106137,0.03952,0.0933,105.19,2,Good
165.68,12,16.3469,13,17.7092,3.3056,84.602,221.05,101.64,0.03485,0.060144,0.421,44.05,0,Poor
202.35,17,18.9555,19,21.1856,2.7526,74.6658,230.47,96.95,0.056914,0.11554,0.6035,53.81,0,Poor
92.23,3,2.692,10,8.9733,1.1277,32.952,154.81,67.63,0.038151,0.041483,0.3245,66.86,1,Average
137.48,0,0.0,3,3.926,0.9356,19.7177,155.21,34.81,0.112632,0.038311,0.194,45.85,2,Good
155.6,0,0.0,4,2.0834,0.5178,14.6873,190.95,23.52,0.045737,0.022289,0.0967,115.2,2,Good
139.38,4,3.487,6,5.2305,1.2799,44.4181,233.48,50.9,0.028626,0.062971,0.31,68.83,1,Average
70.82,18,14.3057,13,10.3319,3.7464,78.3536,82.02,66.09,0.041493,0.040405,0.3563,75.49,0,Poor
152.52,3,6.645,8,17.72,0.8751,40.0342,224.99,59.34,0.040961,0.028674,0.2775,27.09,1,Average
185.52,22,35.7696,17,27.6401,1.8111,97.6029,255.56,75.54,0.03737,0.118586,0.6095,36.9,0,Poor
146.24,4,4.8054,10,12.0135,1.3966,35.4462,240.34,52.82,0.022127,0.066547,0.2879,49.94,1,Average
125.37,0,0.0,3,3.1484,0.6693,12.5091,194.37,16.91,0.061976,0.034209,0.1189,57.17,2,Good
74.63,15,18.1275,11,13.2935,2.4916,97.4748,109.7,89.03,0.019845,0.083187,0.3567,49.65,0,Poor
135.09,1,0.6611,2,1.3221,0.9809,12.4072,171.01,30.82,0.096309,0.010131,0.075,90.76,2,Good
125.72,2,1.265,5,3.1626,0.8477,9.2641,150.71,30.74,0.044347,0.032459,0.0976,94.86,2,Good
149.71,4,2.9245,6,4.3868,1.1918,32.9428,123.18,44.03,0.022324,0.023929,0.2294,82.06,1,Average
91.34,6,4.2107,8,5.6143,1.6692,34.4597,151.12,33.18,0.025996,0.06471,0.1884,85.5,1,Average
145.94,2,1.3676,3,2.0514,1.1755,8.7634,194.08,32.67,0.088801,0.019387,0.0907,87.75,2,Good
152.27,5,6.6588,10,13.3177,1.5384,22.0866,242.36,62.14,0.055364,0.068356,0.2336,45.05,1,Average
149.6,0,0.0,3,1.539,1.1008,9.3833,212.86,33.85,0.104393,0.01054,0.1944,116.96,2,Good
134.39,21,23.6496,16,18.0188,2.8282,84.6284,93.72,68.86,0.012321,0.094973,0.5956,53.28,0,Poor
129.15,8,6.1319,11,8.4314,1.0167,21.3465,158.01,60.13,0.038853,0.046978,0.2956,78.28,1,Average
161.56,7,7.1829,9,9.2351,1.3498,32.0742,130.02,33.22,0.070956,0.044823,0.2374,58.47,1,Average
119.72,5,4.1147,8,6.5835,1.2258,30.3033,192.44,63.22,0.02481,0.041215,0.1665,72.91,1,Average
122.31,6,3.7993,10,6.3321,1.0335,24.1583,202.6,50.92,0.066907,0.06648,0.2565,94.75,1,Average
155.61,1,1.7714,2,3.5429,0.5407,6.6727,181.27,21.69,0.106838,0.010441,0.1069,33.87,2,Good
84.05,19,19.6004,19,19.6004,3.0455,50.5617,98.5,102.06,0.009002,0.105749,0.5472,58.16,0,Poor
111.01,6,6.87,10,11.45,1.4178,28.9808,198.94,36.54,0.047376,0.068471,0.2016,52.4,1,Average
105.87,6,4.3151,8,5.7534,1.1317,27.8087,206.4,37.83,0.082787,0.04601,0.2395,83.43,1,Average
135.37,0,0.0,4,2.3905,0.508,15.5555,217.62,25.94,0.058798,0.031146,0.1726,100.4,2,Good
136.1,4,4.1142,9,9.2569,1.7765,22.723,132.35,51.06,0.037225,0.043835,0.2289,58.33,1,Average
107.31,7,5.114,11,8.0363,1.3444,33.2589,112.68,61.87,0.040592,0.065592,0.3435,82.13,1,Average
133.75,3,4.1251,5,6.8751,1.9712,36.6838,111.56,40.22,0.03825,0.023463,0.342,43.64,1,Average
101.28,4,3.1933,6,4.79,1.7857,21.0296,210.56,68.06,0.028695,0.064811,0.269,75.16,1,Average
128.97,2,1.369,2,1.369,1.0939,11.3394,164.23,23.13,0.09701,0.034503,0.0772,87.66,2,Good
124.07,0,0.0,2,1.1365,0.5273,5.5403,154.02,36.67,0.062598,0.038514,0.1372,105.58,2,Good
172.93,4,2.7973,5,3.4966,1.3752,27.8432,200.96,35.57,0.082878,0.061467,0.2135,85.8,1,Average
120.21,7,6.6566,8,7.6075,0.8063,39.0248,115.3,59.83,0.034174,0.067904,0.2236,63.1,1,Average
123.28,7,20.8433,11,32.7537,0.8039,35.4897,163.32,61.77,0.026509,0.04941,0.2462,20.15,1,Average
185.64,23,52.4835,23,52.4835,3.4629,55.9821,193.13,95.54,0.007555,0.088604,0.3597,26.29,0,Poor
163.11,8,5.1822,7,4.5344,1.3766,22.6233,146.31,69.47,0.029975,0.044944,0.2736,92.63,1,Average
137.31,5,3.6389,6,4.3667,1.6783,41.2794,210.71,62.38,0.073666,0.027485,0.2348,82.44,1,Average
117.79,5,3.4342,10,6.8683,1.852,44.9084,165.25,47.94,0.070545,0.06431,0.2686,87.36,1,Average
172.95,6,4.5259,9,6.7888,1.7476,36.4677,184.73,52.21,0.070344,0.031423,0.3493,79.54,1,Average
154.23,2,1.3439,5,3.3597,1.082,13.9847,149.19,17.35,0.11277,0.030076,0.1744,89.29,2,Good
144.9,0,0.0,4,4.1122,0.6029,17.1669,190.88,24.7,0.09393,0.017797,0.1018,58.36,2,Good
160.46,3,3.2169,7,7.5061,1.9383,26.3132,163.89,45.17,0.062388,0.037837,0.2567,55.95,1,Average
253.64,18,87.8101,20,97.5668,1.8521,54.7013,189.64,85.14,0.055317,0.068992,0.5032,12.3,0,Poor
75.42,12,13.6311,16,18.1748,1.6193,76.132,114.9,67.21,0.023803,0.047344,0.333,52.82,0,Poor
258.78,20,20.553,14,14.3871,1.546,95.2864,105.91,94.59,0.020073,0.084334,0.528,58.39,0,Poor
135.91,0,0.0,2,1.0351,0.5314,16.4151,169.74,24.81,0.100341,0.037553,0.1926,115.94,2,Good
155.53,3,2.7038,5,4.5063,0.8695,21.8674,237.86,69.61,0.067324,0.042298,0.2795,66.57,1,Average
146.92,2,1.5223,3,2.2834,1.0523,11.6963,203.87,35.56,0.108605,0.037499,0.1146,78.83,2,Good
156.36,4,6.4969,10,16.2424,1.9938,21.4445,214.26,69.35,0.036743,0.027112,0.1743,36.94,1,Average
150.36,2,1.1968,4,2.3936,0.8562,10.5392,214.63,35.69,0.095777,0.03143,0.1193,100.27,2,Good
120.01,0,0.0,3,1.7916,0.6933,15.6046,145.02,35.98,0.040306,0.017405,0.1611,100.47,2,Good
143.09,0,0.0,3,1.6084,0.891,10.1475,198.33,31.31,0.107648,0.030775,0.1145,111.91,2,Good
48.95,21,27.0302,13,16.733,2.2905,77.3569,230.26,87.12,0.044258,0.111973,0.5184,46.61,0,Poor
173.65,7,5.3836,6,4.6145,0.9991,42.0482,174.12,36.49,0.020883,0.047988,0.2555,78.01,1,Average
213.54,21,94.8251,21,94.8251,3.8966,55.1404,99.87,106.26,0.008754,0.106966,0.453,13.29,0,Poor
158.02,0,0.0,2,1.6538,0.8544,14.5116,145.67,21.36,0.068948,0.024175,0.0568,72.56,2,Good
115.78,5,8.7665,8,14.0263,1.5417,35.8297,144.33,39.31,0.035456,0.028688,0.2811,34.22,1,Average
102.33,22,60.605,17,46.8312,3.2575,64.9996,293.79,117.75,0.018848,0.07978,0.4053,21.78,0,Poor
201.5,12,26.9645,16,35.9527,3.3772,86.4999,102.69,114.15,0.032789,0.106117,0.412,26.7,0,Poor
100.1,16,16.4963,10,10.3102,1.9332,53.604,135.05,92.95,0.044303,0.092816,0.398,58.19,0,Poor
90.22,8,5.6117,10,7.0147,1.5122,39.8436,206.99,36.99,0.045254,0.065295,0.304,85.54,1,Average
141.86,0,0.0,2,1.5254,0.8534,15.7768,209.01,19.48,0.104,0.026581,0.1095,78.67,2,Good
133.49,2,1.2787,3,1.9181,0.7895,12.393,172.34,28.27,0.087611,0.010298,0.1196,93.84,2,Good
100.89,3,1.9099,11,7.0029,0.914,29.3998,192.51,45.55,0.031458,0.03369,0.3357,94.25,1,Average
47.06,24,32.3973,21,28.3476,1.6656,47.5224,216.58,80.84,0.016502,0.086372,0.4195,44.45,0,Poor
120.56,12,11.7534,10,9.7945,1.7762,64.5042,143.19,77.78,0.017848,0.043367,0.3063,61.26,0,Poor
120.5,3,3.2406,3,3.2406,0.9189,9.4586,163.99,33.58,0.043851,0.037087,0.1778,55.54,2,Good
132.65,0,0.0,4,2.2988,0.6893,17.6407,165.07,34.72,0.11135,0.023015,0.1865,104.4,2,Good
147.91,8,8.3228,21,21.8474,3.9054,65.6179,142.86,112.12,0.017298,0.117058,0.3043,57.67,0,Poor
132.56,19,23.7832,17,21.2797,3.396,80.1422,246.99,103.45,0.040048,0.118446,0.6162,47.93,0,Poor
143.43,3,2.2523,5,3.7538,0.9778,8.629,197.12,35.56,0.104317,0.026575,0.128,79.92,2,Good
123.03,3,2.658,5,4.4301,1.3333,20.3667,198.06,36.74,0.06498,0.057967,0.2501,67.72,1,Average
204.35,24,114.1555,15,71.3472,2.2582,74.5395,151.86,109.67,0.019935,0.11722,0.46,12.61,0,Poor
143.91,1,1.3138,4,5.2554,0.5741,7.3224,215.58,33.41,0.11064,0.016079,0.1381,45.67,2,Good
105.69,3,2.7529,6,5.5059,1.9013,30.6132,123.06,62.63,0.046146,0.046325,0.1725,65.38,1,Average
138.85,2,1.3536,2,1.3536,0.7505,12.4132,206.26,23.38,0.053901,0.03136,0.1739,88.65,2,Good
165.59,22,21.5547,22,21.5547,2.9921,69.5208,101.99,87.55,0.023354,0.051429,0.5278,61.24,0,Poor
132.87,0,0.0,5,3.9307,0.5668,11.4305,142.33,27.02,0.092995,0.013555,0.0933,76.32,2,Good
137.46,0,0.0,5,4.3812,1.0311,9.2374,168.24,37.35,0.115717,0.036777,0.1129,68.48,2,Good
112.58,6,6.1926,7,7.2247,1.9468,41.5532,231.43,56.21,0.05856,0.024349,0.2317,58.13,1,Average
157.71,1,0.7715,5,3.8577,0.8811,19.4415,146.05,24.14,0.058031,0.015875,0.0711,77.77,2,Good
158.54,1,0.912,2,1.824,0.7183,16.6099,201.83,28.03,0.118081,0.013767,0.0525,65.79,2,Good
147.46,5,3.2984,9,5.9371,1.1431,40.3987,239.21,63.86,0.084325,0.032612,0.301,90.95,1,Average
50.58,24,18.6991,17,13.2452,2.3753,48.1813,293.2,113.03,0.056026,0.119593,0.3609,77.01,0,Poor
82.0,11,61.3461,18,100.3845,3.6179,64.5198,290.5,100.61,0.031539,0.079442,0.3291,10.76,0,Poor
76.94,13,10.0309,13,10.0309,2.5636,72.9186,133.33,66.89,0.038584,0.06309,0.5034,77.76,0,Poor
119.54,6,3.6549,7,4.264,1.9126,25.8661,169.9,36.1,0.089474,0.06635,0.258,98.5,1,Average
128.02,0,0.0,2,3.3944,0.8074,17.7045,211.45,16.56,0.110677,0.02345,0.1266,35.35,2,Good
138.85,2,2.2702,2,2.2702,0.5884,15.1427,166.01,32.16,0.045571,0.015246,0.1784,52.86,2,Good
136.11,2,2.449,3,3.6735,0.6967,17.0522,214.34,25.13,0.112489,0.019645,0.1215,49.0,2,Good
55.26,8,16.5237,20,41.3091,2.5678,89.9908,269.36,60.42,0.033091,0.073393,0.3777,29.05,0,Poor
130.35,1,0.788,4,3.1519,0.5063,13.8418,189.06,30.94,0.059362,0.031422,0.0637,76.15,2,Good
142.6,2,1.1218,5,2.8046,0.5085,5.1356,168.56,38.15,0.058294,0.029031,0.0833,106.97,2,Good
186.03,22,22.3858,17,17.2981,3.3152,98.6719,193.59,79.38,0.048735,0.061667,0.4536,58.97,0,Poor
124.58,2,1.1761,5,2.9403,0.7583,6.8154,173.52,33.78,0.045681,0.012405,0.1032,102.03,2,Good
52.42,15,14.314,23,21.9482,2.8002,75.0691,120.67,118.18,0.047632,0.11516,0.6132,62.88,0,Poor
153.13,6,5.1208,8,6.8278,1.2452,44.6912,116.02,64.68,0.060507,0.041931,0.2951,70.3,1,Average
166.11,19,30.6683,21,33.8966,1.8213,89.6162,260.54,97.56,0.050123,0.092119,0.3723,37.17,0,Poor
146.13,2,1.0779,2,1.0779,1.0362,16.8267,193.2,21.51,0.112576,0.030122,0.1341,111.32,2,Good
110.5,7,11.6964,9,15.0382,1.9515,32.1964,126.46,51.92,0.051806,0.062218,0.1696,35.91,1,Average
146.71,2,1.979,5,4.9475,0.6297,6.1845,159.16,34.86,0.042774,0.027484,0.1993,60.64,2,Good
125.27,0,0.0,4,2.3348,0.7169,9.3507,209.71,31.82,0.103735,0.017514,0.1437,102.79,2,Good
136.7,8,6.1976,7,5.4229,1.4255,40.5598,174.63,65.87,0.02499,0.067733,0.2809,77.45,1,Average
181.84,20,25.38,10,12.69,2.4231,69.9847,200.69,92.94,0.016095,0.094766,0.3308,47.28,0,Poor
164.62,5,3.3515,5,3.3515,0.9443,33.6122,110.86,42.98,0.045652,0.039809,0.2891,89.51,1,Average
156.45,6,6.4621,11,11.8472,1.8419,25.146,126.79,40.79,0.023996,0.046558,0.3373,55.71,1,Average
149.52,0,0.0,2,1.4564,0.7426,10.9642,161.14,20.13,0.078643,0.018056,0.0931,82.4,2,Good
251.2,8,13.0417,24,39.1252,3.2831,86.8432,203.48,106.26,0.032159,0.081819,0.4496,36.8,0,Poor
185.09,15,17.7035,17,20.064,2.559,60.8361,215.29,114.71,0.012651,0.048064,0.3896,50.84,0,Poor
154.15,1,0.6717,2,1.3435,0.6378,19.2714,219.59,32.79,0.118491,0.027086,0.0889,89.32,2,Good
182.6,19,31.1936,10,16.4177,3.3528,76.596,265.2,68.39,0.04874,0.05613,0.3573,36.55,0,Poor
212.28,12,9.2063,20,15.3438,3.2454,74.4853,148.1,108.83,0.04266,0.053009,0.6188,78.21,0,Poor
148.37,0,0.0,3,3.3203,0.9086,19.2833,143.39,21.63,0.088124,0.018897,0.1572,54.21,2,Good
170.99,8,15.1372,9,17.0294,0.9461,31.9559,185.92,39.3,0.025598,0.058836,0.1744,31.71,1,Average
58.14,14,21.1611,19,28.7186,2.3256,68.8949,135.81,84.31,0.036431,0.099278,0.5685,39.7,0,Poor
131.37,4,3.5389,8,7.0778,1.3061,26.9207,198.85,66.49,0.034746,0.051148,0.2763,67.82,1,Average
126.06,0,0.0,2,1.6737,0.6977,11.3784,143.01,18.2,0.101244,0.01,0.1125,71.7,2,Good
157.27,0,0.0,2,1.1594,0.9319,6.7076,167.62,27.69,0.109938,0.024806,0.1553,103.5,2,Good
133.83,5,3.6187,11,7.9612,1.9906,41.2856,141.28,67.22,0.028146,0.060872,0.2261,82.9,1,Average
58.95,10,12.023,17,20.4391,2.0223,81.9129,158.9,75.25,0.021241,0.065804,0.597,49.9,0,Poor
156.7,3,1.8898,2,1.2599,1.1231,15.6158,144.98,18.68,0.040627,0.028928,0.1172,95.25,2,Good
163.78,8,14.9604,8,14.9604,1.6775,42.7381,238.6,68.58,0.073207,0.042115,0.2124,32.08,1,Average
246.36,10,11.6912,21,24.5515,3.5766,63.9856,250.24,81.77,0.052359,0.057561,0.6411,51.32,0,Poor
149.07,0,0.0,2,1.3866,0.6971,18.0913,149.01,32.59,0.083256,0.012896,0.0863,86.54,2,Good
144.28,0,0.0,2,1.7125,0.9918,8.5615,180.99,17.61,0.070761,0.02463,0.1478,70.07,2,Good
64.64,13,9.8653,22,16.6952,2.4266,89.704,288.39,119.16,0.046436,0.070101,0.3292,79.06,0,Poor
